HP,MPG,VOL,SP,WT
49,12.10126289,89,104.1853528,28.7620589
52,18.76283667,104,99.56490661,34.4832075
53,19.08634055,92,104.4612635,29.88914864
55,19.08634055,92,105.4612635,30.46683298
55,19.1978876,92,105.4612635,30.19359657
55,19.67850666,92,105.4612635,30.30847957
62,19.83373318,50,102.5985128,15.84775807
62,21.27370792,50,102.5985128,16.35948352
66,23.10317168,89,108.1853528,29.34727902
70,23.10317168,92,113.4612635,30.63211391
70,23.10317168,89,113.1853528,29.59176832
73,23.203569,89,111.1853528,29.36334142
73,23.203569,89,111.1853528,29.3784363
73,23.51591693,89,111.1853528,29.60452658
74,23.51591693,107,110.8408174,34.90821127
78,23.60515831,91,114.3692933,29.5357836
78,24.48736667,91,114.3692933,29.92939368
80,24.60913156,94,115.6452041,30.92015417
81,26.85227868,96,113.8291446,31.83712236
81,27.35426531,101,111.2889958,32.701644
84,27.85625194,114,113.4846092,37.04235003
84,28.8602252,101,112.2889958,33.23436141
90,29.62993595,103,118.4729364,33.51697417
90,29.62993595,98,115.0130851,31.9112234
90,29.62993595,88,114.0933825,28.75400008
92,29.62993595,50,117.5985128,15.75353468
92,29.62993595,99,122.1050553,32.81359241
92,30.13192258,50,117.5985128,16.19412154
92,31.01413094,99,119.1050553,32.32464971
92,31.01413094,50,114.5985128,16.04317492
92,31.11358394,117,120.7605199,38.06282335
92,34,99,119.1050553,32.83506939
93,34.07066829,102,114.3809661,33.07863163
95,34.07066829,101,120.2889958,32.6758277
95,34.07066829,89,119.1853528,28.78172789
95,34.56149897,113,116.3926389,37.39252442
95,34.56149897,106,115.7488471,35.02717556
95,35.05232964,88,114.0933825,28.34397592
96,35.15272697,92,110.4612635,30.14754329
98,35.15272697,103,116.4729364,33.91005598
100,35.15272697,99,117.1050553,32.62191589
100,35.40419245,111,118.2086984,36.49861738
100,35.64355765,94,112.6452041,30.61528334
100,36.28545648,115,115.5765794,37.66287367
102,36.28545648,97,119.9211148,31.38004084
102,36.9,113,121.3926389,37.57328965
102,37.95874317,86,116.909442,27.87991549
102,37.95874317,86,116.909442,28.63050247
102,38.31060597,92,117.4612635,30.52742698
103,38.31060597,107,121.8408174,35.54935984
115,38.4110033,101,118.2889958,33.45847152
115,38.4110033,101,118.2889958,33.21395395
115,38.4110033,101,118.2889958,33.43671117
115,38.4110033,124,120.4043117,40.39816357
115,38.90183397,101,118.2889958,32.73451818
120,39.3540941,116,117.6685497,37.86041143
130,39.3540941,92,128.4612635,30.11543403
130,39.3540941,86,127.909442,28.07059654
130,39.4312352,124,126.4043117,40.58906845
140,39.4312352,131,126.0481035,43.3909885
140,39.53163253,123,125.3123415,40.72283115
140,40.05,160,124.7152409,52.99775236
140,40.47472334,129,121.864163,42.61869847
145,42.29907817,111,130.2086984,36.88815313
150,42.78990885,121,128.128401,40.15948186
160,42.78990885,113,135.3926389,37.25439197
162,42.8284794,135,133.4159845,44.01313857
162,43.4694339,132,133.1400738,43.35312292
165,44.65283424,50,126.5985128,15.71285853
165,44.65283424,114,132.4846092,37.97995604
165,44.65283424,127,133.6802225,41.57397476
165,45.69632238,123,133.3123415,40.47204238
175,45.69632238,129,132.864163,42.77821864
180,45.73489292,113,143.3926389,37.62069475
236,46.71655428,107,139.8408174,34.94861469
238,46.71655428,115,150.5765794,37.92311321
245,50.01340115,112,158.3006687,37.14173328
263,50.01340115,50,151.5985128,15.76962542
280,50.01340115,50,164.5985128,15.82306042
295,50.50423183,119,167.9444604,39.42309899
322,53.70068138,50,169.5985128,16.13294744
,,,,
,mean=34.42207573,,,
,SD=9.131444732,,,
